Year,Angel,Seed,Early Stage,Late Stage,Deal Count
2012.0,2.7600000000000002,3.82,11.61,0.0,27
2013.0,4.0,20.05,195.95999999999998,0.0,73
2014.0,8.76,37.8,172.77,0.0,162
2015.0,28.130000000000003,76.84,695.74,20.04,284
2016.0,34.6,184.91,2147.31,251.2,455
2017.0,48.45,444.81,2460.48,2340.83,669
2018.0,71.25,539.3,7940.32,4762.63,982
2019.0,111.01,609.63,4734.9,5967.1,1185
2020.0,119.82000000000001,832.8,3404.4,10758.28,1537
2021.0,201.75,1839.06,10711.34,16988.68,2391
2022.0,109.17,1991.24,15375.1,21125.39,2589
2023.0,130.91,1978.16,11187.67,20266.3,2612
2024.0,47.74,1599.55,8528.710000000001,15414.02,2048
2025.0,101.27,1001.68,6536.93,14025.55,1767
2026.0,17.43,542.74,3707.1,12251.9,688
