Year,Total (USD M),Avg (USD M),Median (USD M),Deals with Size
2012.0,27.049999999999997,0.731081081081081,0.12,37
2013.0,241.35999999999999,2.0806896551724137,0.155,116
2014.0,445.71,1.5861565836298932,0.2,281
2015.0,1374.92,2.6749416342412453,0.31,514
2016.0,2865.55,4.013375350140056,0.345,714
2017.0,6679.36,5.926672582076309,0.42,1127
2018.0,19288.96,12.791087533156498,0.43,1508
2019.0,14439.48,7.355822720326032,0.47,1963
2020.0,32368.29,12.916316839584997,0.69,2506
2021.0,55588.19,16.942453520268213,1.28,3281
2022.0,60936.52,17.606622363478763,1.31,3461
2023.0,70349.73,21.474276556776555,1.315,3276
2024.0,53007.15,20.418778890600926,1.7149999999999999,2596
2025.0,50722.62,24.444636144578315,2.35,2075
2026.0,28936.02,41.21940170940171,3.6900000000000004,702
