comm_a,comm_b,shared_deals
4,12,22
1,3,581
1,7,754
3,7,933
3,6,304
6,16,22
3,14,306
3,21,80
7,14,395
7,21,101
14,21,36
0,6,18
10,15,27
1,4,273
1,14,236
4,14,211
1,16,102
1,12,52
1,13,61
7,12,51
7,13,113
12,13,7
1,6,212
6,7,322
5,7,138
1,18,42
4,7,366
4,18,71
7,18,52
4,5,218
10,14,50
3,12,46
12,14,13
8,10,8
1,10,101
3,18,41
3,19,21
3,23,74
6,18,11
6,19,4
6,23,20
7,19,69
7,23,114
18,19,2
18,23,4
19,23,7
1,11,113
1,24,71
11,24,13
7,24,100
14,24,38
2,14,76
1,27,22
1,2,150
2,7,193
14,23,34
5,8,8
3,10,107
7,10,115
1,9,59
9,16,14
7,16,138
0,1,12
0,3,16
0,7,49
6,14,56
4,17,19
3,24,108
23,24,9
3,26,18
2,6,45
9,14,31
9,15,6
14,15,12
10,11,15
5,15,24
6,10,24
11,15,7
11,19,13
1,23,75
1,21,57
3,9,56
1,5,118
3,5,78
1,17,20
3,17,14
4,13,47
23,29,2
3,13,54
13,19,7
4,15,39
4,23,20
15,23,5
2,4,158
14,19,32
7,15,68
1,15,43
7,9,99
9,19,7
9,24,7
15,16,8
4,24,54
4,19,17
7,11,117
3,16,87
9,18,2
6,29,4
5,6,35
10,19,11
11,13,13
5,14,74
1,34,2
7,34,3
14,34,2
9,13,10
1,38,1
1,19,41
19,27,4
13,21,6
3,4,269
3,11,70
1,8,49
7,8,61
5,12,14
6,12,16
1,42,1
9,23,8
6,11,26
11,14,23
11,23,3
7,26,26
14,16,31
11,16,20
10,27,7
15,27,1
4,10,37
4,8,5
2,5,66
2,12,15
5,16,19
12,16,7
21,24,11
10,13,16
3,15,40
5,13,30
13,14,50
13,23,6
2,3,147
2,10,24
3,29,13
0,8,1
3,8,33
6,8,16
11,17,3
12,15,5
12,18,5
15,18,5
17,26,1
15,19,5
17,18,3
7,25,16
14,18,36
14,25,12
18,25,3
6,13,15
2,15,26
9,12,3
10,23,4
10,24,9
15,24,6
8,19,7
2,11,41
5,21,12
16,21,7
2,18,17
4,6,53
3,34,1
6,15,14
1,25,17
5,18,12
5,25,2
4,21,25
6,9,16
8,9,3
8,13,7
4,26,17
5,19,17
2,21,17
18,34,1
4,16,29
13,18,19
13,27,2
4,9,20
8,14,8
4,25,20
2,26,6
0,11,2
0,24,4
6,25,4
8,26,1
6,21,18
6,24,35
6,17,3
17,24,5
9,11,9
16,19,12
5,17,19
11,18,6
3,25,18
10,18,6
9,27,4
19,24,4
12,17,2
7,17,30
8,16,13
6,27,8
1,30,3
3,30,5
7,30,4
14,30,5
21,23,7
8,12,3
5,11,8
2,19,13
2,24,10
1,28,4
13,26,4
14,26,10
1,29,8
7,29,20
7,28,2
10,17,1
0,2,2
5,23,8
16,23,9
2,27,5
13,25,1
15,21,7
24,25,3
10,29,4
19,29,1
19,21,1
10,26,5
8,11,13
8,21,2
4,11,33
8,17,2
16,17,5
5,10,11
2,13,14
0,21,3
0,9,8
25,29,1
9,26,1
14,29,7
11,25,1
21,26,1
16,18,6
7,20,2
14,17,12
10,21,13
16,24,11
21,25,1
9,21,6
4,29,3
7,32,1
9,29,1
2,23,15
1,26,9
27,29,1
4,30,9
8,23,5
12,23,2
10,16,20
3,27,17
5,24,10
9,10,6
11,21,10
12,21,4
6,28,1
0,29,1
24,29,2
13,15,4
18,21,2
7,27,18
8,18,1
2,16,17
16,27,3
14,27,4
25,26,2
2,8,8
19,36,1
15,26,4
11,12,2
21,29,1
5,9,1
13,16,12
13,30,2
4,27,1
9,25,2
23,25,1
3,20,1
11,29,1
21,27,3
13,24,2
18,24,2
0,23,2
6,26,2
13,17,6
2,17,6
10,12,1
2,9,4
12,27,1
17,25,1
0,14,1
1,20,2
19,26,1
0,15,4
17,19,3
19,39,1
2,29,1
0,5,1
5,26,4
12,26,1
16,26,4
18,26,5
1,45,1
0,27,1
8,15,1
8,20,1
16,20,1
1,43,1
7,43,1
6,20,2
19,40,1
18,35,1
2,30,3
21,30,2
0,12,2
0,16,1
2,25,4
6,37,1
15,25,1
9,17,1
18,30,2
12,24,2
23,26,1
11,27,1
4,35,1
17,23,3
3,44,1
8,24,2
7,31,1
17,21,1
7,22,1
4,33,1
0,4,1
1,41,1
3,41,1
7,41,1
14,41,1
19,41,1
