community_id,n_investors,cluster_label,top_stage,top_sector,top_geo,pct_GREEN_VC,pct_GVC,pct_IVC,avg_deal_size_M,avg_novelty,exit_rate_pct,failure_rate_pct,avg_co_diversity,avg_deals_per_inv,pct_stage_Seed_Angel,pct_stage_Early,pct_stage_Growth,pct_stage_Late,pct_stage_Other,pct_sec_Renew,pct_sec_Battery,pct_sec_Mobility,pct_sec_Carbon,pct_sec_Agri,pct_sec_H2,pct_sec_Circular,pct_sec_Effic,pct_sec_Water,pct_sec_Other,pct_geo_Americas,pct_geo_Europe,pct_geo_Asia,pct_geo_Oceania,pct_geo_Middle_East,pct_geo_Africa,community_name
0,135,Mixed Bridge,Other,Other / Diversified,Americas,61.48148148148148,56.2962962962963,5.185185185185185,6.542780476283308,0.4386456777512151,2.952248236330299,5.832302820462704,6.42962962962963,14.274074074074074,10.4,8.1,1.5,0.0,80.0,0,0,3.0,0,11.1,0,0.0,0,0,85.9,96.3,0.7,0.0,0.0,2.2,0.7,Gov-Led · Multi-Stage · Diversified (US)
1,1541,Exit-Oriented,Early,Sustainable Agri,Americas,55.80791693705386,32.446463335496425,27.44970798182998,22.360462968807727,0.4045830555018596,7.39238577591875,6.3899535567973995,22.91628812459442,4.500324464633355,26.9,47.6,17.6,0.8,7.1,0,0,4.0,0,52.0,0,1.4,0,0,42.7,57.2,17.5,16.5,1.3,7.5,0.0,Mixed · Early-Stage · AgriTech (US)
2,776,Mixed Bridge,Early,Other / Diversified,Europe,62.75773195876289,45.36082474226804,18.81443298969072,4.710436919350377,0.41473673375714065,3.253218261600289,5.31702629474787,11.408505154639176,4.740979381443299,31.8,41.1,11.1,0.9,15.1,0,0,9.5,0,20.5,0,2.1,0,0,67.9,9.4,86.2,3.2,0.5,0.3,0.4,Mixed · Early-Stage · Diversified (EU)
3,1637,Exit-Oriented,Early,Other / Diversified,Americas,51.496640195479536,28.466707391569944,32.68173488087966,16.95966883585745,0.4257634885215513,5.955996036194159,6.9597784176294555,24.30421502748931,3.539401343921808,35.7,50.3,10.1,0.9,3.0,0,0,11.5,0,15.7,0,0.9,0,0,72.0,85.6,9.5,2.5,0.9,0.5,1.0,Mixed · Early-Stage · Diversified (US)
4,1617,Mixed Bridge,Early,Other / Diversified,Europe,65.36796536796537,49.35064935064935,20.531849103277676,12.709832789442673,0.41436341483868094,7.741793328566057,6.618058835396877,12.437847866419295,3.735930735930736,36.7,46.3,8.3,0.6,8.1,0,0,6.6,0,9.2,0,1.4,0,0,82.9,8.5,88.6,1.2,0.3,0.7,0.7,Mixed · Early-Stage · Diversified (EU)
5,1038,Mixed Bridge,Early,Other / Diversified,Europe,66.76300578034682,55.78034682080924,14.258188824662811,23.95365029919072,0.4222203452779176,7.033576794456567,5.659711425074216,10.572254335260116,3.5472061657032756,36.4,39.9,12.2,0.5,11.0,0,0,8.9,0,19.1,0,1.5,0,0,70.5,5.3,90.1,3.0,0.4,0.7,0.6,Gov-Led · Early-Stage · Diversified (EU)
6,1001,High-Risk Frontier,Early,Other / Diversified,Americas,53.74625374625375,37.56243756243756,20.87912087912088,7.403914119567675,0.4167005133862001,6.580450177025902,3.952234946770411,12.876123876123875,4.1998001998002,31.0,35.3,12.3,1.9,19.6,0,0,8.2,0,14.4,0,2.2,0,0,75.2,90.0,7.7,1.3,0.0,0.5,0.5,Mixed · Early-Stage · Diversified · [Resilient] (US)
7,1836,Exit-Oriented,Early,Other / Diversified,Americas,52.94117647058824,31.154684095860567,29.68409586056645,59.73716881976791,0.433499865212874,9.732053235139153,2.8820367816156045,28.71677559912854,4.970588235294118,18.8,45.2,26.0,3.3,6.7,0,0,8.4,0,8.0,0,0.5,0,0,83.0,80.3,13.9,1.9,2.0,1.1,0.7,Mixed · Early-Stage · Diversified · [Exit-Active] (US)
8,443,High-Risk Frontier,Early,Other / Diversified,Asia,45.82392776523702,34.988713318284425,14.89841986455982,15.270384073978772,0.40994661141675376,8.064901416381794,2.904917460914536,9.90293453724605,3.7200902934537248,18.3,59.4,13.1,1.4,7.9,0,0,8.1,0,26.6,0,4.3,0,0,60.9,11.3,3.2,82.2,0.0,3.2,0.2,Mixed · Early-Stage · Diversified · [Exit-Active] (Asia)
9,232,Exit-Oriented,Early,Other / Diversified,Americas,49.56896551724138,28.01724137931034,30.17241379310345,47.36740484357862,0.38923655961891335,9.524079595540575,2.9603102584046326,16.00862068965517,3.0517241379310347,19.4,32.8,26.3,8.2,13.4,0,0,25.4,0,7.3,0,0.4,0,0,66.8,59.5,3.4,4.3,2.6,30.2,0.0,Mixed · Early-Stage · Diversified · [Exit-Active] (US)
