Company ID,Companies,Business Status,Ownership Status,Success Class,Success Probability,IPO Probability,M&A Probability,Total Raised,outcome,n_investors_matched,pct_green,pct_esg,pct_traditional,pct_gvc,pct_ivc,pct_cvc,pct_impact,green_quartile
158392-81,Li Auto (HKG: 02015),Profitable,Publicly Held,,,,,3106.85,IPO / Public,23,52.17391304347826,0.0,47.82608695652174,43.47826086956522,13.043478260869565,0.0,0.0,"Q2
(25-50%)"
500735-26,Firmmit,Generating Revenue,Privately Held (backing),Success,82.0,51.0,31.0,8.94,Active / Private,12,33.33333333333333,8.333333333333332,58.333333333333336,33.33333333333333,8.333333333333332,0.0,8.333333333333332,"Q1
(0-25%)"
472034-80,ZEEKR Automobile,Generating Revenue,Acquired/Merged (Operating Subsidiary),,,,,1114.06,Acquired,11,54.54545454545454,9.090909090909092,36.36363636363637,63.63636363636363,0.0,9.090909090909092,0.0,"Q2
(25-50%)"
182479-42,Guangzhou Xiaopeng Motors Technology (HKG: 09868),Generating Revenue,Publicly Held,,,,,5781.36,IPO / Public,46,45.65217391304348,2.1739130434782608,52.17391304347826,28.26086956521739,28.26086956521739,2.1739130434782608,0.0,"Q1
(0-25%)"
169720-12,Hello (Other Transportation),Generating Revenue,Acquired/Merged (Operating Subsidiary),,,,,3374.43,Acquired,15,33.33333333333333,0.0,66.66666666666666,40.0,13.333333333333334,0.0,0.0,"Q1
(0-25%)"
470533-96,CHINT(Zhejiang),Profitable,Privately Held (backing),,,,,642.06,Active / Private,16,81.25,0.0,18.75,68.75,12.5,0.0,0.0,"Q3
(50-75%)"
483554-35,AVATR Technology,Generating Revenue,Acquired/Merged (Operating Subsidiary),,,,,2530.04,Acquired,23,65.21739130434783,0.0,34.78260869565217,69.56521739130434,4.3478260869565215,0.0,0.0,"Q2
(25-50%)"
492711-94,REPT BATTERO (HKG: 00666),Generating Revenue,Publicly Held,,,,,1768.54,IPO / Public,21,76.19047619047619,0.0,23.809523809523807,76.19047619047619,9.523809523809524,0.0,0.0,"Q3
(50-75%)"
471542-59,DAS Solar,Generating Revenue,Privately Held (backing),,,,,342.9,Active / Private,34,61.76470588235294,0.0,38.23529411764706,67.64705882352942,5.88235294117647,0.0,0.0,"Q2
(25-50%)"
495011-80,Gokin Solar,Generating Revenue,Privately Held (backing),,,,,696.27,Active / Private,25,72.0,0.0,28.000000000000004,76.0,8.0,0.0,0.0,"Q3
(50-75%)"
588848-32,Sungrow New Energy,Profitable,Privately Held (backing),,,,,108.4,Active / Private,4,25.0,0.0,75.0,50.0,0.0,0.0,0.0,"Q1
(0-25%)"
151169-23,Romeo Power,Profitable,Acquired/Merged,,,,,231.7,Acquired,10,40.0,0.0,60.0,20.0,40.0,0.0,0.0,"Q1
(0-25%)"
435174-40,Fusion Paste (SHG: 688503),Profitable,Publicly Held,,,,,452.13,IPO / Public,15,60.0,0.0,40.0,66.66666666666666,0.0,0.0,0.0,"Q2
(25-50%)"
493829-92,GAC Aion,Generating Revenue,Privately Held (backing),,,,,2985.25,Active / Private,11,54.54545454545454,9.090909090909092,36.36363636363637,72.72727272727273,9.090909090909092,0.0,0.0,"Q2
(25-50%)"
267106-15,Neta Auto,Bankruptcy: Liquidation,Out of Business,,,,,3493.44,Failed,36,63.888888888888886,0.0,36.11111111111111,61.111111111111114,5.555555555555555,0.0,0.0,"Q2
(25-50%)"
510671-44,Xiamen Hithium Energy Storage Technology Company,Profitable,In IPO Registration,,,,,867.08,IPO / Public,27,70.37037037037037,0.0,29.629629629629626,66.66666666666666,0.0,0.0,0.0,"Q3
(50-75%)"
517629-16,CNGR New Energy,Generating Revenue,Privately Held (backing),,,,,213.48,Active / Private,8,37.5,0.0,62.5,75.0,0.0,0.0,0.0,"Q1
(0-25%)"
496591-93,RT-Hitech,Generating Revenue,Privately Held (backing),,,,,751.96,Active / Private,33,60.60606060606061,3.0303030303030303,36.36363636363637,63.63636363636363,9.090909090909092,0.0,0.0,"Q2
(25-50%)"
522801-10,Yonz Technology (SHG: 603381),Profitable,Publicly Held,,,,,180.35,IPO / Public,10,60.0,0.0,40.0,80.0,10.0,0.0,0.0,"Q2
(25-50%)"
535137-94,Sigenergy (HKG: 06656),Generating Revenue,Publicly Held,,,,,97.31,IPO / Public,22,50.0,9.090909090909092,40.909090909090914,36.36363636363637,27.27272727272727,0.0,0.0,"Q1
(0-25%)"
227224-54,EcoFlow (Alternative Energy Equipment),Generating Revenue,Privately Held (backing),,,,,89.23,Active / Private,15,46.666666666666664,0.0,53.333333333333336,46.666666666666664,0.0,0.0,0.0,"Q1
(0-25%)"
483951-61,HuaSun Energy,Generating Revenue,Privately Held (backing),,,,,692.69,Active / Private,19,63.1578947368421,0.0,36.84210526315789,52.63157894736842,15.789473684210526,0.0,0.0,"Q2
(25-50%)"
226525-69,Meati,Generating Revenue,Acquired/Merged,,,,,487.16,Acquired,44,68.18181818181817,0.0,31.818181818181817,27.27272727272727,27.27272727272727,0.0,4.545454545454546,"Q3
(50-75%)"
482849-83,Changzhou Liyuan,Generating Revenue,Privately Held (backing),,,,,164.94,Active / Private,7,57.14285714285714,0.0,42.857142857142854,28.57142857142857,14.285714285714285,14.285714285714285,0.0,"Q2
(25-50%)"
186522-13,Harmony Biosciences Holdings (NAS: HRMY),Profitable,Publicly Held,,,,,828.21,IPO / Public,11,54.54545454545454,0.0,45.45454545454545,18.181818181818183,54.54545454545454,0.0,0.0,"Q2
(25-50%)"
268100-02,Carbon Zero Technologies International,Generating Revenue/Not Profitable,In IPO Registration,,,,,2.72,IPO / Public,4,75.0,0.0,25.0,100.0,0.0,0.0,0.0,"Q3
(50-75%)"
467954-38,Volare (Commercial Products),Generating Revenue,Privately Held (backing),Success,74.0,30.0,44.0,41.19,Active / Private,10,70.0,0.0,30.0,50.0,20.0,0.0,0.0,"Q3
(50-75%)"
515842-75,Delijia Transmission Technology (SHG: 603092),Profitable,Publicly Held,,,,,34.23,IPO / Public,9,55.55555555555556,0.0,44.44444444444444,55.55555555555556,0.0,0.0,0.0,"Q2
(25-50%)"
