Companies,outcome,pct_green,pct_traditional,pct_ivc,pct_gvc,pct_cvc,pct_impact,Total Raised,exited,failed,pure_green,pure_trad,pure_ivc,mixed_syn,syndicate,hq_country,hq_region,first_ym,n_rounds,avg_deal_size_M,n_communities,cross_community,specter_novelty,bge_novelty,log_capital,deal_year,is_us,cpu_narrow,cpu_broad,cpu_sentiment,country_cpu_col,cpu_country,CPU_pos_US,CPU_neg_US,oil_price,interest_rate,vix,cpu_narrow_z,cpu_broad_z,cpu_country_z,CPU_pos_US_z,CPU_neg_US_z,oil_price_z,interest_rate_z,vix_z,specter_novelty_z,bge_novelty_z
GE Vernova (NYS: GEV),IPO / Public,50.0,50.0,0.0,100.0,0.0,0.0,2215.26,1,0,0,0,0,1,mixed,United States,Americas,2024-03,2.0,2215.26,0.0,0,0.4248,0.6959,7.703576369504578,2024.0,1,267.3923151843637,282.9148327294959,,CPU_US,267.3923151843637,53.478463036872746,160.43538911061822,83.96,5.33,13.01,-0.4670643067436217,0.32193731641925594,-0.2816645078288802,-1.0726346295113116,0.22277856342865013,0.9677028153537454,1.8055780836221895,-0.947490101981992,0.03194928005791912,2.3955825972920604
Li Auto (HKG: 02015),IPO / Public,54.166666666666664,45.83333333333333,12.5,45.83333333333333,0.0,0.0,3106.85,1,0,0,0,0,1,mixed,China,Asia,2015-10,14.0,258.90500000000003,2.0,1,0.2627,0.5123,8.041686447774602,2015.0,0,177.8145642627828,154.1320802779433,126.9631817574733,CPU_US,113.4881940720934,156.1895978304059,127.3122293718077,46.6,0.12,15.07,-1.025587587597434,-0.991945525089097,-1.169589489292993,-0.2302866278648387,-0.23741044410883186,-1.0604459852949564,-0.9352370797633986,-0.6558202602862044,-1.9668095166927684,0.3737599828347393
Firmmit,Active / Private,33.33333333333333,58.333333333333336,8.333333333333332,33.33333333333333,0.0,8.333333333333332,8.94,0,0,0,0,0,1,mixed,South Korea,Asia,2020-09,5.0,4.47,3.0,1,0.3351,0.4102,2.2965670206684825,2020.0,0,247.9645956967325,172.2231494161901,78.74275677925701,CPU_US,247.9645956967325,49.5929191393465,148.77875741803948,40.05,0.09,26.37,-0.5881974398721649,-0.8073746499307503,-0.3937495991264752,-1.1045005040727225,0.06082982990995576,-1.4160234650660752,-0.9510191248500719,0.9441162499868047,-1.0740881293716715,-0.7505760135492063
ZEEKR Automobile,Acquired,54.54545454545454,36.36363636363637,0.0,63.63636363636363,9.090909090909092,0.0,1114.06,1,0,0,0,0,1,mixed,China,Asia,2021-08,5.0,520.714,2.0,1,0.3823,0.4565,7.016663494105616,2021.0,0,209.2305746140933,151.1863414293364,,CPU_US,209.2305746140933,41.846114922818664,125.53834476845599,68.43,0.09,16.48,-0.8297066574308342,-1.0219988952421006,-0.6172192807911002,-1.168033100261598,-0.26205550217513585,0.12463132514833007,-0.9510191248500719,-0.45618216475656354,-0.4920929707866477,-0.24071551763758336
Guangzhou Xiaopeng Motors Technology (HKG: 09868),IPO / Public,46.0,52.0,26.0,34.0,2.0,0.0,5781.36,1,0,0,0,0,1,mixed,China,Asia,2015-04,18.0,527.9128571428571,6.0,1,0.2627,0.5123,8.662567182831094,2015.0,0,42.58714847303734,74.8704826091618,87.4862087291582,CPU_US,76.34851303043058,118.2981888497629,85.73418338256693,59.62,0.12,14.55,-1.8687395885266656,-1.8005977023806758,-1.383860883471224,-0.541039232230217,-0.8150654706828036,-0.35363395680335846,-0.9352370797633986,-0.7294456572191217,-1.9668095166927684,0.3737599828347393
Hello (Other Transportation),Acquired,37.5,62.5,12.5,43.75,0.0,0.0,3374.43,1,0,0,1,0,1,traditional,China,Asia,2016-11,17.0,277.14076923076925,2.0,1,0.3713,0.4454,8.124278002598404,2016.0,0,554.2340759391794,351.3599199734304,116.1058415877899,CPU_US,286.2325381683111,271.5334184600492,414.254611261803,49.41,0.41,13.33,1.3214132968402723,1.020235993869705,-0.17296888276762562,0.7156637503970377,3.7491575941957183,-0.9079005321412399,-0.7826773105922239,-0.9021821654078891,-0.6277274357111231,-0.3629498913874541
CHINT(Zhejiang),Active / Private,83.33333333333334,16.666666666666664,11.11111111111111,72.22222222222221,0.0,0.0,642.06,0,0,1,0,0,0,green,China,Asia,2021-08,4.0,214.01999999999998,1.0,0,0.3324,0.4716,6.4662380324814706,2021.0,0,209.2305746140933,151.1863414293364,,CPU_US,209.2305746140933,41.846114922818664,125.53834476845599,68.43,0.09,16.48,-0.8297066574308342,-1.0219988952421006,-0.6172192807911002,-1.168033100261598,-0.26205550217513585,0.12463132514833007,-0.9510191248500719,-0.45618216475656354,-1.1073802253076797,-0.07443272091478623
VinFast Auto (NAS: VFS),IPO / Public,0.0,100.0,50.0,0.0,0.0,0.0,2514.03,1,0,0,1,0,1,traditional,Vietnam,Asia,2018-08,7.0,3334.4542857142856,0.0,0,0.529,0.6664,7.8300400108921195,2018.0,0,185.9160590267065,160.5224680524658,83.91052392820819,CPU_US,126.2188233992996,343.0962431726637,216.1014079193915,69.84,1.91,12.86,-0.9750742247499133,-0.9267487445598992,-1.096142178540735,1.3025602198988337,0.9961616027030341,0.20117548491585316,0.006424943741438654,-0.9687281972511028,1.3167775750697737,2.0707254778667283
AVATR Technology,Acquired,62.5,37.5,4.166666666666666,70.83333333333334,0.0,0.0,2530.04,1,0,1,0,0,0,green,China,Asia,2018-10,12.0,424.85999999999996,1.0,0,0.3529,0.5171,7.83638556445027,2018.0,0,208.0067230923123,163.2956958347696,73.45791778939005,CPU_US,169.3031499360276,90.76252914301196,185.2733597389956,65.31,2.19,21.23,-0.8373374536965437,-0.8984553874961577,-0.8475741118441247,-0.7668629267558793,0.567859200144759,-0.04474298582661532,0.1537240312170557,0.21635751876527656,-0.8546069043120651,0.42661809040225124
REPT BATTERO (HKG: 00666),IPO / Public,77.27272727272727,22.727272727272727,9.090909090909092,77.27272727272727,0.0,0.0,1768.54,1,0,1,0,0,0,green,China,Asia,2018-07,8.0,222.19375,1.0,0,0.4778,0.6579,7.478474904785745,2018.0,0,168.2987229075484,140.7094626943893,146.1790887713988,CPU_US,166.4349654685901,157.0019599887396,287.1175147884757,69.88,1.91,12.83,-1.0849194962369204,-1.1288873639257406,-0.8641216391077209,-0.2236243351926648,1.9828075627189616,0.20334695044117254,0.006424943741438654,-0.9729758163049249,0.6854607928758488,1.9771225790492604
