quarter,n_deals,share_Exit-Oriented,avgsize_Exit-Oriented,share_Mixed Bridge,avgsize_Mixed Bridge,share_High-Risk Frontier,avgsize_High-Risk Frontier,share_Government-Led,avgsize_Government-Led,share_Deep Green,avgsize_Deep Green,share_Unknown,avgsize_Unknown,cpu_narrow,cpu_broad,date,cpu_z,cpu_z_l1,trend
2013-Q1,60,21.666666666666668,1.4666666666666668,30.0,0.5690909090909091,5.0,5.32,0.0,,0.0,,50.0,0.39999999999999997,128.06515239041903,121.9357085770157,2013-01-01,-1.0204485461525037,,0
2013-Q2,26,26.923076923076923,1.9183333333333337,34.61538461538461,17.831249999999997,7.6923076923076925,1.415,0.0,,0.0,,34.61538461538461,0.5371428571428571,107.08769189357862,101.55413834550313,2013-04-01,-1.1423054147348357,-1.0204485461525037,1
2013-Q3,33,27.27272727272727,1.922,21.21212121212121,0.89,15.151515151515152,0.625,0.0,,0.0,,48.484848484848484,1.2254545454545456,120.66973121648137,121.31789467803902,2013-07-01,-1.0634081248984275,-1.1423054147348357,2
2013-Q4,35,14.285714285714285,5.236666666666666,34.285714285714285,1.2783333333333333,20.0,0.065,0.0,,0.0,,34.285714285714285,0.7022222222222222,127.89525337746777,119.1567327489111,2013-10-01,-1.0214354798042957,-1.0634081248984275,3
2014-Q1,122,18.0327868852459,1.3853333333333333,34.42622950819672,0.3857142857142858,13.934426229508196,0.90375,0.0,,0.0,,36.0655737704918,0.1686666666666667,140.97015602745284,113.59993228021177,2014-01-01,-0.9454841179039366,-1.0214354798042957,4
2014-Q2,37,24.324324324324326,3.84875,29.72972972972973,0.5183333333333332,21.62162162162162,0.5342857142857144,0.0,,0.0,,27.027027027027028,0.24400000000000005,112.21644460833569,105.29248493887833,2014-04-01,-1.112512783465309,-0.9454841179039366,5
2014-Q3,73,36.986301369863014,2.2994736842105263,16.43835616438356,0.22599999999999998,16.43835616438356,0.497,1.36986301369863,0.39,0.0,,39.726027397260275,0.5907142857142856,122.75991770037065,111.16723599304207,2014-07-01,-1.051266351125657,-1.112512783465309,6
2014-Q4,85,23.52941176470588,2.198333333333333,29.411764705882355,1.9475000000000002,17.647058823529413,1.7064285714285714,0.0,,0.0,,32.94117647058823,7.7688235294117645,106.76789122970054,112.92516069997619,2014-10-01,-1.1441631185058239,-1.051266351125657,7
2015-Q1,192,17.708333333333336,2.1852,34.89583333333333,0.5861538461538461,14.0625,1.073076923076923,0.0,,0.0,,36.97916666666667,0.6996666666666668,115.97492956686592,118.07850491662232,2015-01-01,-1.0906799592428884,-1.1441631185058239,8
2015-Q2,114,27.192982456140353,2.5806666666666667,29.82456140350877,4.595769230769231,13.157894736842104,1.5584615384615386,0.0,,0.0,,35.96491228070175,0.672962962962963,114.6453470381788,108.36276588186125,2015-04-01,-1.0984034281295056,-1.0906799592428884,9
2015-Q3,101,26.732673267326735,3.478947368421053,26.732673267326735,9.391904761904762,19.801980198019802,1.7644444444444445,0.0,,0.0,,32.67326732673268,15.726999999999999,100.5145005359464,96.86673894260906,2015-07-01,-1.1804887074910848,-1.0984034281295056,10
2015-Q4,169,17.159763313609467,2.9949999999999997,47.928994082840234,1.147258064516129,13.017751479289942,3.220666666666667,0.0,,0.0,,26.627218934911244,2.192647058823529,190.020171381947,145.23137559568394,2015-10-01,-0.6605553832787795,-1.1804887074910848,11
2016-Q1,310,19.67741935483871,1.4199999999999997,31.93548387096774,2.1531249999999997,12.258064516129032,1.337142857142857,0.0,,0.3225806451612903,,39.67741935483871,2.3679591836734692,110.24457812153916,103.30327470216584,2016-01-01,-1.1239672431402374,-0.6605553832787795,12
2016-Q2,199,19.597989949748744,3.599285714285714,36.18090452261307,22.011960784313725,20.100502512562816,1.8617241379310345,0.0,,0.0,,28.643216080402013,0.9720588235294116,154.61329540726987,133.95104127077715,2016-04-01,-0.8662319013304765,-1.1239672431402374,13
2016-Q3,158,20.88607594936709,6.436666666666667,36.075949367088604,6.642558139534883,21.518987341772153,2.6968,0.0,,0.0,,28.48101265822785,2.070952380952381,154.63440957435662,129.35768512242421,2016-07-01,-0.8661092503411298,-0.8662319013304765,14
2016-Q4,214,18.22429906542056,12.716896551724139,36.915887850467286,6.284285714285715,16.355140186915886,2.1348148148148147,0.46728971962616817,,0.0,,33.64485981308411,1.6005000000000003,328.6300527198086,246.6073443438396,2016-10-01,0.14462149201289132,-0.8661092503411298,15
2017-Q1,470,14.893617021276595,7.495897435897437,33.829787234042556,6.62375,17.872340425531917,1.7632075471698114,0.0,,0.0,,38.51063829787234,0.9773333333333333,289.2329414035359,213.23101547091082,2017-01-01,-0.08423407498548925,0.14462149201289132,16
2017-Q2,288,23.958333333333336,12.64403846153846,34.375,11.698888888888888,19.09722222222222,5.32625,0.0,,0.0,,30.555555555555557,1.4589583333333334,324.7289991207492,206.5798330336993,2017-04-01,0.12196049470938981,-0.08423407498548925,17
2017-Q3,276,26.44927536231884,17.660526315789475,32.971014492753625,20.3353125,18.478260869565215,3.1152631578947365,0.7246376811594203,,0.0,,31.15942028985507,3.9383673469387745,267.9056725788477,183.7105805778233,2017-07-01,-0.20812296014303877,0.12196049470938981,18
2017-Q4,348,23.563218390804597,8.18927536231884,42.81609195402299,7.108467741935484,18.103448275862068,5.4513461538461545,0.0,,0.0,,24.42528735632184,4.309821428571429,204.202192317574,157.87898687134694,2017-10-01,-0.5781728345596495,-0.20812296014303877,19
