investor,investor_type,green_focus,community,deal_count,avg_deal_size_M,stage_focus,sector_focus,geo_focus,novelty_pref,exit_rate,failure_rate,co_investor_diversity,degree,betweenness,eigenvector
Black Spade Acquisition,OTHER,TRADITIONAL,,1,20827.14,Other,Mobility & EV,Asia,0.529,1.0,0.0,0,,,
65 Equity Partners,IVC,TRADITIONAL,19.0,1,4372.68,Early,Other / Diversified,Asia,0.3234,1.0,0.0,19,19.0,2.5319003292166813e-06,0.0004508667874989
Achi Capital Partners,IVC,TRADITIONAL,19.0,1,4372.68,Early,Other / Diversified,Asia,0.3234,1.0,0.0,19,19.0,2.5319003292166813e-06,0.0004508667874989
Alpha JWC Ventures,IVC,GREEN_VC,19.0,6,737.0333333333333,Early,Other / Diversified,Asia,0.3911,0.25,0.0,48,48.0,0.0003996648696034,0.0013840451938558
Arculli Capital,OTHER,TRADITIONAL,19.0,1,4372.68,Early,Other / Diversified,Asia,0.3234,1.0,0.0,19,19.0,2.5319003292166813e-06,0.0004508667874989
Arizona Land Consulting,OTHER,TRADITIONAL,19.0,1,4372.68,Early,Other / Diversified,Asia,0.3234,1.0,0.0,19,19.0,2.5319003292166813e-06,0.0004508667874989
B Capital Services,OTHER,TRADITIONAL,19.0,2,2759.125,Early,Other / Diversified,Asia,0.3234,1.0,0.0,23,23.0,5.1909940867397e-06,0.0009711343398065
Celadon Partners,IVC,TRADITIONAL,19.0,1,4372.68,Early,Other / Diversified,Asia,0.3234,1.0,0.0,19,19.0,2.5319003292166813e-06,0.0004508667874989
Coatue Management,IVC,TRADITIONAL,7.0,31,397.8013333333333,Early,Other / Diversified,Americas,0.4075,0.2222222222222222,0.16666666666666666,226,226.0,0.0093925150841359,0.0568180351196169
Gaw Capital Partners,IVC,TRADITIONAL,19.0,3,1463.0033333333333,Early,Other / Diversified,Asia,0.3704,0.3333333333333333,0.0,38,38.0,0.0004038513738846,0.0010432799359568
Hillhouse Investment Group,IVC,TRADITIONAL,19.0,15,594.9757142857143,Early,Other / Diversified,Asia,0.35194285714285717,0.5,0.0,91,91.0,0.0011439246340209,0.0065828815033691
Indonesia Investment Authority,GVC,GREEN_VC,19.0,1,4372.68,Early,Other / Diversified,Asia,0.3234,1.0,0.0,19,19.0,2.5319003292166813e-06,0.0004508667874989
