investor,green_focus,investor_type,betweenness,degree,total_deals,n_green_neighbors,n_trad_neighbors,cross_type,bridge_score
Plug and Play Tech Center,TRADITIONAL,OTHER,0.1312703175635073,1288,615,770,485,True,49187.77561295156
Climate Capital,GREEN_VC,IVC,0.06388438635699134,1407,257,784,572,True,28735.51640530649
Temasek Holdings,GREEN_VC,GVC,0.03788338320456586,532,72,279,238,True,2535.1560040495474
SOSV,GREEN_VC,IVC,0.03669163738343164,828,295,479,325,True,5741.507417759383
Breakthrough Energy,GREEN_VC,OTHER,0.03208413244364786,790,186,452,317,True,4621.84761503725
Lowercarbon Capital,GREEN_VC,IVC,0.025809973745669425,864,152,452,380,True,4454.620798686324
Unreasonable Impact,GREEN_VC,OTHER,0.023459840440290654,424,91,267,146,True,924.2238739856906
Alumni Ventures,TRADITIONAL,OTHER,0.02305252947398684,682,103,358,293,True,2433.1022758614154
InnoEnergy,GREEN_VC,GVC,0.02216631542477849,357,241,247,102,True,566.2163612105417
Bpifrance,GREEN_VC,GVC,0.02088071341002384,319,119,221,89,True,417.19665393227626
GL Ventures,TRADITIONAL,OTHER,0.020797631608879742,123,31,81,41,True,71.62704326098184
Impact Assets,GREEN_VC,Impact_VC,0.019105126527164555,551,120,332,197,True,1259.6774124420679
Gaingels,GREEN_VC,IVC,0.016053391752320574,591,83,321,250,True,1297.4672282060533
Collaborative Fund,GREEN_VC,IVC,0.015566084288084321,558,94,337,208,True,1099.6193262788527
Global Brain,GREEN_VC,IVC,0.014402019989837365,323,40,179,137,True,357.74617654756014
MCJ,GREEN_VC,IVC,0.013611175371279512,586,82,321,246,True,1082.5512219793447
Techstars,ESG_ALIGNED,IVC,0.013161898167702541,337,276,185,142,True,350.0801674645522
IDG Capital,GREEN_VC,IVC,0.012995967134932177,107,23,65,41,True,36.024820898032
E8,GREEN_VC,GVC,0.011509661422073858,362,75,226,129,True,339.65010856539953
Lightspeed Venture Partners,ESG_ALIGNED,IVC,0.011375375212384116,135,17,66,62,True,48.01545877147335
Y Combinator,TRADITIONAL,IVC,0.010936548390333123,458,171,243,202,True,541.7091148699802
Equinor Ventures,GREEN_VC,GVC,0.009953850948066542,265,43,165,89,True,148.71053316411414
Sequoia Capital,TRADITIONAL,IVC,0.009694587557538402,206,33,91,106,True,95.43351991640803
European Innovation Council,GREEN_VC,GVC,0.00954510004058923,223,265,152,66,True,97.8468205160802
Capricorn Investment Group,GREEN_VC,IVC,0.009461173054283567,325,49,167,149,True,238.42156096794588
Coatue Management,TRADITIONAL,IVC,0.009392515084135987,226,31,120,98,True,112.512938192865
GS Futures,ESG_ALIGNED,CVC,0.0088114247010464,251,27,151,90,True,121.8796264648738
AgFunder,GREEN_VC,IVC,0.008597697558333596,243,49,156,80,True,109.33691984932834
Blue Horizon Corporation,GREEN_VC,IVC,0.008483085483006726,254,59,138,106,True,126.16893038875905
Energy Impact Partners,GREEN_VC,IVC,0.008399714033053842,454,112,277,160,True,375.95440069142387
S2G Investments,GREEN_VC,IVC,0.007909967140659956,303,59,190,108,True,164.67760590139963
Microsoft Climate Fund,GREEN_VC,GVC,0.007740663075768778,311,35,201,102,True,161.05223595444517
Rockstart,TRADITIONAL,OTHER,0.007650834962923633,93,63,70,22,True,12.493813494454292
Atomico,TRADITIONAL,OTHER,0.007543179475795565,106,18,49,51,True,19.61226663706847
Possible Ventures,GREEN_VC,IVC,0.007474714512745271,222,31,135,78,True,80.3083327249352
Voyagers.io,GREEN_VC,Impact_VC,0.007455453699923141,217,37,133,76,True,76.92537127580697
Shell Ventures,GREEN_VC,CVC,0.007416062511832394,317,63,210,100,True,158.04370818966015
Tencent Holdings,TRADITIONAL,CVC,0.007231263319147289,87,17,39,47,True,13.884025572762795
Puhua Capital,TRADITIONAL,OTHER,0.007188465025073177,96,21,62,34,True,15.850565380286355
CICC Capital,GREEN_VC,GVC,0.007146597193666639,128,21,80,48,True,28.364844261662892
Demea Sustainable Investment,GREEN_VC,GVC,0.006862465010962467,139,41,90,44,True,28.1017942198913
DCVC,GREEN_VC,IVC,0.006688980221570587,334,57,181,142,True,174.08739924659608
Envisioning Partners,GREEN_VC,Impact_VC,0.006611534916618171,168,19,102,63,True,43.58323817034698
HSG,TRADITIONAL,OTHER,0.006601765974410036,118,38,66,51,True,23.000552654844565
Aramco Ventures,GREEN_VC,CVC,0.006592104571528766,252,47,160,86,True,92.33560873340342
BDC Capital,GREEN_VC,GVC,0.006509093715720918,207,43,127,77,True,64.98679165775765
SGInnovate,TRADITIONAL,GVC,0.00642729628674599,106,19,62,43,True,17.816465306859882
Global Founders Capital,TRADITIONAL,IVC,0.006402124342569237,206,26,110,91,True,65.37849378631705
