investor,investor_type,green_focus,total_deals,community,degree,degree_centrality,betweenness,closeness,eigenvector
U.S. Department of Energy,GVC,GREEN_VC,569,0,88,0.004946877283714655,0.0037401248503420303,0.3130763815557902,0.007454675375619888
Plug and Play Tech Center,OTHER,TRADITIONAL,615,1,1288,0.0724042947889145,0.1312703175635073,0.42464968609009096,0.17531140012566093
Innovate UK,GVC,GREEN_VC,527,2,137,0.007701388498510315,0.004598177354604946,0.3235716754279062,0.004815493556983782
US National Science Foundation,GVC,GREEN_VC,439,0,58,0.0032604418460846587,0.003155243804218292,0.2928808982844348,0.005609962186038308
SOSV,IVC,GREEN_VC,295,1,828,0.04654561807858789,0.03669163738343164,0.392918672969033,0.2423623597443255
Techstars,IVC,ESG_ALIGNED,276,3,337,0.01894429141604362,0.013161898167702541,0.36539725577191684,0.03153200595619981
European Innovation Council,GVC,GREEN_VC,265,4,223,0.012535836753049636,0.00954510004058923,0.34672358008809884,0.00906601186482152
Climate Capital,IVC,GREEN_VC,257,3,1407,0.07909382202484681,0.06388438635699134,0.4102061522852004,0.31496071311346435
InnoEnergy,GVC,GREEN_VC,241,5,357,0.02006858170779695,0.02216631542477849,0.34915992776949045,0.013348556016899027
MassChallenge,OTHER,TRADITIONAL,192,4,15,0.000843217718814998,0.00018103998068393906,0.30417906364351427,0.0011751956785695456
Creative Destruction Lab,OTHER,GREEN_VC,203,6,68,0.003822586991961324,0.0013324656562646218,0.3314576384877676,0.007667953622915106
Cleantech Open,IVC,GREEN_VC,195,5,22,0.0012367193209286637,0.0004953409898240442,0.2732355425850549,0.00024664604065784726
Breakthrough Energy,OTHER,GREEN_VC,186,7,790,0.04440946652425656,0.03208413244364786,0.39315313722456735,0.28353289382482455
Y Combinator,IVC,TRADITIONAL,171,3,458,0.02574624768115127,0.010936548390333123,0.3685159098442161,0.09482159181557634
EIT Climate-KIC,GVC,GREEN_VC,199,4,102,0.0057338804879419865,0.003609417428106223,0.32830119036633754,0.004471308434896151
Lowercarbon Capital,IVC,GREEN_VC,152,7,864,0.048569340603743884,0.025809973745669425,0.39113896218117855,0.27472487903624876
Greentown Labs,IVC,GREEN_VC,233,8,68,0.003822586991961324,0.0019089435883066375,0.32589539250709904,0.012878857072609884
Horizon 2020,GVC,GREEN_VC,146,4,38,0.0021361515543313284,0.0006856957477834959,0.2772124479905253,0.0013514498112801258
EIT Food,GVC,GREEN_VC,147,1,46,0.0025858676710326604,0.0058492213750483335,0.31321419139008716,0.002941911140730571
Third Derivative,IVC,GREEN_VC,177,6,82,0.004609590196188656,0.002069424476001397,0.33399046224325035,0.009744143395826719
Impact Assets,Impact_VC,GREEN_VC,120,7,551,0.030974197537804258,0.019105126527164555,0.37441855570288984,0.08493807268831503
Google Accelerator,OTHER,ESG_ALIGNED,141,7,2,0.00011242902917533307,0.0,0.2563551994466221,0.00012076891751923909
Sustainable Development Technology Canada,GVC,GREEN_VC,120,6,171,0.009612681994490977,0.005172099833573366,0.34216195422196577,0.0185711767549644
Bpifrance,GVC,GREEN_VC,119,5,319,0.017932430153465625,0.02088071341002384,0.3421816992709716,0.007187910255691223
Energy Impact Partners,IVC,GREEN_VC,112,7,454,0.025521389622800605,0.008399714033053842,0.3748287995954403,0.15415831351227688
VentureWell,IVC,GREEN_VC,115,9,23,0.0012929338355163302,0.0004671107278358737,0.2840785691472373,0.0013046262294533232
