,coef,se,p,model,n
Intercept,-2.6621415998703943,0.062371711546275785,0.0,Exit ~ Novelty,6861
novelty_z,0.011842633465403483,0.05005813546642924,0.8129845008453225,Exit ~ Novelty,6861
Pure_Green,-0.2310921765102689,0.11328901706251912,0.041365641758380804,Exit ~ Novelty,6861
Pure_NG,0.29027638535089195,0.18992292588436568,0.12641562556654418,Exit ~ Novelty,6861
Intercept,-2.6622213263398375,0.0623768221493569,0.0,Exit ~ Novelty + Interaction,6861
novelty_z,0.022140961056922787,0.06215044359541498,0.7216549705237101,Exit ~ Novelty + Interaction,6861
Pure_Green,-0.23628123263647588,0.11368757840896213,0.03767822399793567,Exit ~ Novelty + Interaction,6861
novelty_z:Pure_Green,-0.12954491773591187,0.11334028529386739,0.2530496847833468,Exit ~ Novelty + Interaction,6861
Pure_NG,0.20309103257556277,0.2036518270408107,0.3186449685166559,Exit ~ Novelty + Interaction,6861
novelty_z:Pure_NG,0.358042464274279,0.19973743230870078,0.0730423997643399,Exit ~ Novelty + Interaction,6861
Intercept,1.696296618839345,0.02450832444831773,0.0,Log(Raised) ~ Novelty,6861
novelty_z,-0.026778739926410774,0.019215139054918912,0.1634753838611334,Log(Raised) ~ Novelty,6861
Pure_Green,-0.4423502679702231,0.04155535944640354,2.952231029867633e-26,Log(Raised) ~ Novelty,6861
Pure_NG,-0.3623903293398653,0.08345582588227053,1.4302688002908377e-05,Log(Raised) ~ Novelty,6861
