,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],model,n,pseudo_r2,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,p,-log2(p)
Intercept,-63.35069821359333,294449.03601349326,-0.00021514995963746426,0.9998283351702723,-577172.8565671977,577046.1551707706,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2013],57.69802772003965,294449.0360154034,0.0001959525101553442,0.999843652518497,-577051.8078450079,577167.203900448,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2014],59.53903186558133,294449.0360138305,0.00020220487956627148,0.9998386638495745,-577049.9668377796,577169.0449015107,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2015],60.3224582027113,294449.0360137341,0.0002048655312965523,0.9998365409566812,-577049.1834112535,577169.8283276589,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2016],60.3404667089697,294449.0360137208,0.000204926691307483,0.9998364921580538,-577049.165402721,577169.846336139,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2017],60.31381109446102,294449.03601370077,0.00020483616421707222,0.99983656438822,-577049.1920582963,577169.8196804853,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2018],60.46328194175376,294449.0360136745,0.00020534379314098277,0.9998361593589475,-577049.0425873976,577169.969151281,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2019],60.37222867397492,294449.03601367073,0.0002050345604499515,0.9998364060909322,-577049.133640658,577169.878098006,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2020],60.29081715366964,294449.0360136943,0.00020475807280573207,0.9998366266961501,-577049.2150522246,577169.7966865319,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2021],60.02301860081473,294449.0360136931,0.0002038485824692033,0.9998373523644327,-577049.482850775,577169.5288879765,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2022],59.7442160639996,294449.03601369157,0.00020290172069444833,0.9998381078508084,-577049.7616533088,577169.2500854367,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2023],59.37092273806438,294449.03601366846,0.00020163395180994363,0.9998391193840073,-577050.1349465894,577168.8767920656,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2024],59.16430158751662,294449.03601367254,0.00020093223054318087,0.9998396792765607,-577050.341567748,577168.670170923,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2025],59.291060369915286,294449.0360136658,0.0002013627253551732,0.9998393357914036,-577050.2148089523,577168.7969296922,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(inv_year)[T.2026],59.35422303367745,294449.03601369925,0.00020157723671717503,0.9998391646361032,-577050.1516463542,577168.8600924215,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(region)[T.Americas],0.9219171396232092,0.25693563038635986,3.58812492544106,0.00033306470380682976,0.41833255772084876,1.4255017215255696,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(region)[T.Asia],1.1415272889941426,0.2601326011107717,4.388251546018442,1.142655711638409e-05,0.631676759612306,1.651377818375979,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(region)[T.Europe],1.0006360325978754,0.257015353288036,3.8932928317183717,9.889265817815866e-05,0.4968951966794867,1.504376868516264,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(region)[T.Middle East],1.0718183982607072,0.29104929872665253,3.6826008616063937,0.00023086647904722505,0.5013722550308288,1.6422645414905856,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
C(region)[T.Oceania],1.0240951351417036,0.28693506760710696,3.5690832204029226,0.0003582326272737239,0.4617127367302084,1.5864775335531989,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
Pure_Green,-0.30168608999736213,0.060937304410126736,-4.950761982625983,7.392346954775314e-07,-0.42112101195616436,-0.18225116803855992,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
Pure_Non_Green,0.020086599217016075,0.06774208494351416,0.2965158104266354,0.7668361945909172,-0.11268544750992474,0.1528586459439569,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
company_age_z,0.27897675354454116,0.02460531975827239,11.338066576060173,8.500165353152742e-30,0.2307512129902355,0.3272022940988468,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
oil_price_z,0.00880660319487176,0.05519070520249891,0.15956678144552894,0.8732223481985217,-0.0993651912833935,0.11697839767313703,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
interest_rate_z,-0.10655118446682448,0.07992708113553071,-1.333104912040361,0.18249737764879403,-0.26320538488187545,0.050103015948226484,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
vix_z,-0.056074874589229794,0.03507635363569,-1.5986517632828834,0.10989800122524611,-0.12482326442417277,0.01267351524571319,Model 2 — Exit Success | Model A,32503,0.0376,,,,,,,,,,
Intercept,-17.66577576874876,686.204533298483,-0.025744184002737498,0.979461381784875,-1362.601947061892,1327.2703955243944,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
