Investor,Participations,Unique_Deals,Total_Capital_USD_M,Website
U.S. Department of Energy,556,556,1651.71,www.energy.gov
Plug and Play Tech Center,524,524,2941.7799999999997,www.plugandplaytechcenter.com
Innovate UK,519,519,641.74,
US National Science Foundation,431,431,238.35,nsf.gov
SOSV,292,292,2718.11,www.sosv.com
Techstars,273,273,452.88,www.techstars.com
European Innovation Council,261,261,2042.85,www.eic.ec.europa.eu
Climate Capital,246,246,2860.22,www.climatecapital.co
InnoEnergy,220,220,6798.070000000001,www.innoenergy.com
MassChallenge,191,191,4.57,masschallenge.org
Creative Destruction Lab,188,188,32.36,www.creativedestructionlab.com
Cleantech Open,187,187,3.0300000000000002,www.cleantechopen.org
Breakthrough Energy,183,183,12270.18,www.breakthroughenergy.org
Y Combinator,169,169,693.3,www.ycombinator.com
EIT Climate-KIC,154,154,94.61,www.climate-kic.org
Lowercarbon Capital,152,152,7276.24,lowercarbon.com
Greentown Labs,144,144,297.98,www.greentownlabs.com
Horizon 2020,142,142,179.63,
EIT Food,136,136,62.94,www.eitfood.eu
Third Derivative,135,135,68.1,www.third-derivative.org
Impact Assets,120,120,2644.56,www.impactassets.org
Google Accelerator,118,118,2.12,startup.google.com
Sustainable Development Technology Canada,115,115,351.07,www.sdtc.ca
Bpifrance,112,112,3168.72,www.bpifrance.fr
Energy Impact Partners,112,112,5332.89,www.energyimpactpartners.com
VentureWell,111,111,2.5,www.venturewell.org
IndieBio,105,105,715.74,www.indiebio.co
Alumni Ventures,103,103,2344.45,www.av.vc
Remove,95,95,11.3,
Antler,95,95,92.18,www.antler.co
United States Department of Agriculture,95,95,113.08,www.usda.gov
Collaborative Fund,93,93,3871.17,www.collabfund.com
Free Electrons,93,93,4.89,www.freeelectrons.org
Tech Incubator Program for Startup,93,93,12.02,www.jointips.or.kr/global
Elemental Impact,92,92,1455.1499999999999,www.elementalimpact.com
Leading Cities,87,87,0.13,leadingcities.org
Enterprise Ireland,87,87,194.73,www.enterprise-ireland.com
Artesian,85,85,238.11,www.artesianinvest.com
Big Idea Ventures,82,82,152.73,www.bigideaventures.com
MCJ,82,82,2292.21,www.mcj.vc
Gaingels,81,81,1556.09,www.gaingels.com
Venture Kick,81,81,12.65,www.venturekick.ch
European Commission,80,80,357.6,commission.europa.eu
For ClimateTech,79,79,1.6199999999999999,www.forclimatetech.org
Village Capital,77,77,1.98,www.vilcap.com
Unreasonable Impact,76,76,1281.56,
HAX,75,75,171.1,hax.co
E8,73,73,318.18,
Temasek Holdings,72,72,12682.96,www.temasek.com.sg
Massachusetts Clean Energy Center,72,72,134.9,www.masscec.com
Tech Nation Group,71,71,0.57,www.technation.io
Scottish Enterprise,69,69,360.39,www.scottish-enterprise.com
Prelude Ventures,68,68,4037.11,www.preludeventures.com
Startupbootcamp Holding,67,67,7.77,www.startupbootcamp.org
Los Angeles Cleantech Incubator,66,66,86.19,laincubator.org
SFC Capital,66,66,89.01,www.sfccapital.com
Activate Global,65,65,8.959999999999999,www.activate.org
MassVentures,65,65,199.82,www.mass-ventures.com
Brinc,65,65,65.65,
Shell Ventures,63,63,1501.15,
gener8tor,63,63,184.89000000000001,www.gener8tor.com
Congruent Ventures,62,62,2745.41,www.congruentvc.com
Almi Invest,59,59,136.11,www.almiinvest.se
Energy Laboratory,59,59,2.74,energylab.org.au
S2G Investments,59,59,2127.61,www.s2ginvestments.com
Rockstart,59,59,48.12,www.rockstart.com
Arpa-E,58,58,274.73,arpa-e.energy.gov
European Union,57,57,556.02,european-union.europa.eu
Blue Horizon Corporation,57,57,653.04,www.bluehorizon.com
The Grantham Foundation,57,57,754.96,www.granthamfoundation.org
DCVC,57,57,3061.05,www.dcvc.com
National Science Foundation Innovation Corps Program,56,56,3.87,
Entrepreneurs First,55,55,228.28,www.joinef.com
Neglected Climate Opportunities,55,55,1093.92,
Grow London,55,55,0.0,www.grow.london
Engine Ventures,55,55,3999.12,www.engineventures.com
High-Tech Gründerfonds,54,54,658.42,www.htgf.de
California Energy Commission,54,54,320.6,www.energy.ca.gov
Thrive AgriFood,52,52,33.35,thriveagrifood.com
Valor Equity Partners,50,50,4415.09,www.valorep.com
United States Department of War,49,49,100.25,www.war.gov
Khosla Ventures,49,49,3293.24,www.khoslaventures.com
Capricorn Investment Group,49,49,7679.099999999999,www.capricornllc.com
EIT KIC Urban Mobility,49,49,19.91,www.eiturbanmobility.eu
Capital Factory,49,49,227.72,www.capitalfactory.com
AgFunder,47,47,471.9,www.agfunder.com
CPT Capital,47,47,1588.34,www.cptcap.com
Aramco Ventures,47,47,2057.96,aramcoventures.com
Carbon13,46,46,16.22,www.carbonthirteen.com
Keiretsu Forum,46,46,287.58,www.keiretsuforum.com
Katapult Ocean,45,45,143.27,katapultocean.com
Energy Catalyst,44,44,19.4,
BDC Capital,43,43,812.39,
Shell StartUp Engine,43,43,0.0,
Equinor Ventures,43,43,3277.82,
Vinnova,43,43,2293.09,www.vinnova.se
Speedinvest,43,43,892.64,www.speedinvest.com
CalSEED,42,42,40.49,calseed.fund
Halcyon Incubator,42,42,2.6399999999999997,www.halcyonhouse.org
Katapult Group,42,42,56.519999999999996,katapult.vc
100+ Accelerator,42,42,1.8800000000000001,100accelerator.com
Pale Blue Dot Advisors,41,41,242.24,www.paleblue.vc
At One Ventures,41,41,479.09000000000003,www.atoneventures.com
Demea Sustainable Investment,41,41,2244.19,demea-si.com
Horizon Europe,40,40,154.8,www.horizoneurope.ie
Global Brain,40,40,1567.5,www.globalbrains.com
CDP Venture Capital,40,40,284.25,
Wells Fargo Innovation Incubator,40,40,9.45,www.in2ecosystem.com
NYSERDA,39,39,37.01,www.nyserda.ny.gov
Right Side Capital Management,39,39,32.870000000000005,www.rightsidecapital.com
Kickstart Innovation,39,39,0.05,www.kickstart-innovation.com
Clean Energy Finance Corporation,38,38,688.08,www.cefc.com.au
GV,38,38,1712.25,www.gv.com
Chalmers Ventures,38,38,59.05,www.chalmersventures.com
